measurement	T_mean	C_mean	T_sd	C_sd	T_median	C_median	T_min	C_min	T_max	C_max	T_cv	C_cv	T_var	C_var	mslrStats	mslrP
CL	105.782608695652	105.538461538462	4.54229138950747	5.94125083955067	106	105	97	94	118	122	0.0429398692801774	0.056294650812069	20.6324110671937	35.2984615384615	1.6562289242264	0.198113257075684
EY	398.590909090909	395.653846153846	15.1049001538576	9.51605930074969	400.5	394	376	372	427	417	0.0378957467652946	0.0240514767978509	228.158008658009	90.5553846153846	4.73542441349276	0.0295475571323788
HL	440.347826086957	438.423076923077	23.1410864356651	13.5975676557922	440	439	374	411	473	471	0.052551835310061	0.0310147169971574	535.509881422925	184.893846153846	6.08998931926424	0.013594990862755
ML	428.95652173913	433.083333333333	21.0485980117648	22.0807149117616	431	433.5	387	383	466	474	0.0490693041020262	0.0509849103215585	443.04347826087	487.557971014493	0.0557972528324578	0.813266289541653
SP	129.166666666667	126.869565217391	9.15882404957178	9.0368153472644	131	129	115	94	144	142	0.0709070248999106	0.0712291819695275	83.8840579710145	81.6640316205534	-0.014882391861069	1
