measurement	BR_mean	TN_mean	BR_sd	TN_sd	BR_median	TN_median	BR_min	TN_min	BR_max	TN_max	BR_cv	TN_cv	BR_var	TN_var	wilcox_p	wilcoxStats
CL	111.279069767442	109.6875	2.87290778029233	4.01675347894768	111	110	105	99	118	120	0.0258171441071203	0.036619974736845	8.25359911406423	16.1343085106383	0.0564056405640564	1.91055013325475
EY	407.162790697674	397.979166666667	7.48945364069382	11.8186466146263	406	399.5	392	366	425	424	0.0183942487177196	0.029696646469249	56.0919158361019	139.680407801418	0.0002000200020002	4.19709248181494
HL	450.860465116279	429.6875	12.7159094114211	17.7741819095336	454	434.5	415	390	472	459	0.0282036470155831	0.0413653688076418	161.694352159468	315.921542553192	0	5.6462627277113
ML	450.585365853659	447.744680851064	13.9013949115837	15.4448078866912	448	447	424	410	498	482	0.0308518561965428	0.0344946764243721	193.248780487805	238.542090656799	0.575757575757576	0.569118654232037
SP	139.047619047619	145.68085106383	6.16818106149886	8.40575988593206	138.5	145	127	125	153	164	0.0443602062642041	0.0576998268787508	38.0464576074332	70.6567992599445	0	-3.97304994534055
